level_0,level_1,flagged_columns
club_drug,gamma_hydroxybutyrate,108
club_drug,controlled_substance,108
gamma_hydroxybutyrate,max,108
controlled_substance,drug,108
death,grave,60
carnivore,feline,62
cat,feline,62
inactiveness,trait,63
inactiveness,laziness,63
isolation,loneliness,63
isolation,separation,63
charge,fixed_charge,64
accomplishment,attainment,55
iron,metallic_element,57
database,information,58
database,list,58
activity,market,58
entreaty,request,59
entreaty,wooing,59
death,end,60
block,cube,103
bite,wound,54
framework,supporting_structure,54
frame,framework,54
structure,supporting_structure,54
score,success,55
run,score,55
attainment,success,55
communication,transmission,53
electronic_communication,email,53
broadcasting,radio,53
canvas,fabric,33
justice,righteousness,33
morality,righteousness,33
time_period,year,34
bob,weight,37
hominid,homo,38
administrator,head,43
academic_administrator,administrator,43
academic_administrator,dean,43
head,leader,43
heaven,region,45
hurt,ill_health,49
electronic_communication,transmission,53
artwork,illustration,114
figure,illustration,114
adult,host,115
heartbeat,periodic_event,116
happening,periodic_event,116
instrument,weapon,118
gun,weapon,118
mom,mother,121
condition,luck,109
bounce,elasticity,109
elasticity,physical_property,109
actor's_line,aside,112
actor's_line,line,112
affair,party,113
jolly,party,113
team,unit,113
input,signal,148
challenge,dare,152
challenge,speech_act,152
freak,mutant,153
mutant,organism,153
activity,job,154
kin,relative,156
mechanical_device,mechanism,156
discipline,science,137
math,science,137
set,teeth,137
animal_skin,fell,138
pain,smart,139
device,warmer,144
film,product,147
film,show,147
reluctance,sloth,129
reluctance,unwillingness,129
fool,simpleton,129
kin,social_group,132
folks,kin,132
time_period,times,132
feeling,mood,133
acquiring,capture,135
artifact,weight,37
bob,plumb,37
group,humans,38
homo,humans,38
condition,disorderliness,123
disorderliness,mess,123
outside,region,125
disposition,unwillingness,129
champagne,sparkling_wine,167
sparkling_wine,wine,167
ground,object,168
beverage,coffee,169
abuse,mistreatment,170
activity,effort,171
sound,tap,174
district,region,176
gathering,pair,163
handful,small_indefinite_quantity,163
status,terms,164
conference,discussion,164
conference,session,164
imagination,representational_process,166
basic_cognitive_process,representational_process,166
dream,imagination,166
assistant,worker,161
model,photographer's_model,161
lovely,photographer's_model,161
colours,emblem,162
large_integer,thirty,163
integer,large_integer,163
integer,number,163
couple,pair,163
grab,mechanical_device,156
amorphous_shape,shape,158
amorphous_shape,space,158
opening,space,158
hole,opening,158
asthma,respiratory_disease,159
people,sick,160
assistant,model,161
bag,container,184
robin,thrush,185
oscine,thrush,185
oscine,passerine,185
bird,passerine,185
juvenile,kid,186
area,body_part,187
area,waist,187
artifact,opening,25
lefty,person,27
flirt,woman,30
karaoke,singing,30
activity,music,30
music,vocal_music,30
singing,vocal_music,30
fishing,outdoor_sport,183
placental,ungulate,21
even-toed_ungulate,swine,21
even-toed_ungulate,ungulate,21
cook,skilled_worker,22
concentration,focus,23
concern,matter,23
age,property,24
exit,opening,25
administrative_district,district,176
administrative_district,state,176
body_part,chest,178
guy,man,179
outbuilding,shed,181
form,word,20
locomotion,walking,20
pig,swine,21
aid,lift,200
anger,bad_temper,201
bad_temper,fit,201
body_waste,fecal_matter,206
fecal_matter,shit,206
dawn,hour,207
clock,timepiece,208
bible,sacred_text,208
age,newness,197
freshness,newness,197
difficulty,pinch,198
nonfiction,prose,199
article,nonfiction,199
prose,writing_style,199
creation,piece,199
article,piece,199
alignment,true,192
kill,termination,193
change_of_state,termination,193
athletic_contest,contest,193
athletic_contest,meet,193
attacker,stoner,194
airliner,airplane,197
airbus,airliner,197
protective_covering,shield,189
secretion,sweat,190
church,religion,190
approval,sanction,192
okay,sanction,192
acknowledgment,thanks,192
acknowledgment,message,192
alignment,placement,192
assertion,avowal,224
affirmative,yes,224
affirmative,avowal,224
message,proposal,225
advice,proposal,225
gold,precious_metal,226
precious_metal,valuable,226
happening,incident,227
aquatic_bird,waterfowl,222
guardianship,hands,222
duty,guardianship,222
duty,social_control,222
operation,sorting,222
data_processing,operation,222
process,processing,222
data_processing,processing,222
partition,structure,218
partition,wall,218
paper,sheet,219
leaf,page,219
leaf,sheet,219
arms,instrumentality,222
anseriform_bird,goose,222
anseriform_bird,waterfowl,222
sacred_text,writing,208
awareness,feel,211
astonishment,wonder,211
indefinite_quantity,worth,213
energy,heat,216
bash,blow,217
blow,impact,217
cast,gathering,218
people,peoples,241
farm,workplace,242
badminton,court_game,242
athletic_game,court_game,242
quality,worthlessness,245
damn,worthlessness,245
middle,point,245
deep,middle,245
obscurity,standing,236
oblivion,obscurity,236
end,tip,239
hell,region,239
bad,worse,239
enlisted_person,serviceman,240
enlisted_person,soldier,240
fodder,soldier,240
knitting,needlework,231
banker,financier,234
capitalist,financier,234
banker,cashier,234
capitalist,person,234
grasping,hold,235
baseball_equipment,mound,236
baseball_equipment,sports_equipment,236
dirge,song,228
dirge,keen,228
action,state,229
action,hum,229
old,past,230
municipality,urban_area,231
geographical_area,urban_area,231
city,municipality,231
holy,topographic_point,297
order,peace,299
order,state,299
cutting_implement,tool,300
implement,tool,300
cutter,edge_tool,300
edge_tool,knife,300
feeling,humour,277
consequence,wake,268
bottom,heel,269
boundary,surface,269
side,surface,269
bottom,side,269
blank,character,270
approval,credit,295
point,topographic_point,297
victory,win,262
external_body_part,neck,262
billion,large_integer,264
falsification,wrongdoing,264
falsification,lying,264
choice,willing,264
mistreatment,using,264
external_body_part,face,267
degree,extent,258
degree,state,258
animal,male,259
easter,movable_feast,261
feast_day,movable_feast,261
feast_day,holiday,261
day,holiday,261
ending,victory,262
mechanism,steering_system,77
mere,pond,78
body_of_water,lake,78
lake,pond,78
panel,sheet,79
artifact,sheet,79
rolling,sound,82
disturbance,havoc,85
alien,traveler,295
Asian,Indian,295
Indian,bohemian,295
Asian,person_of_color,295
person,person_of_color,295
instrumentality,toiletry,74
banjo,stringed_instrument,76
helm,steering_system,77
landlord,landowner,286
holder,owner,286
holder,landowner,286
actor,extra,288
conveyance,tram,289
drink,helping,289
degree,high,293
choice,vote,294
priest,priestess,278
present,today,281
condition,guilt,282
jest,wit,284
blunder,mistake,284
mistake,nonaccomplishment,284
blunder,fumble,284
owner,person,286
